Well_id	3847WP_id	Well	Drug	Conc_flag	Concentration	Replicate	Full name	Well_letter	Well_number	quadrant id
P1_M8	P1	M8	DOX	1	0.031	2	DOX_1_0.031	M	8	P1_Q2
P1_M10	P1	M10	DOX	2	0.0155	2	DOX_2_0.0155	M	10	P1_Q2
P1_M12	P1	M12	DOX	3	0.00775	2	DOX_3_0.00775	M	12	P1_Q2
P1_M14	P1	M14	LOP	1	100	1	LOP_1_100	M	14	P1_Q2
P1_M16	P1	M16	LOP	2	50	1	LOP_2_50	M	16	P1_Q2
P1_M18	P1	M18	LOP	3	25	1	LOP_3_25	M	18	P1_Q2
P1_M20	P1	M20	LIN	1	0.4	2	LIN_1_0.4	M	20	P1_Q2
P1_M22	P1	M22	LIN	2	0.2	2	LIN_2_0.2	M	22	P1_Q2
P1_M24	P1	M24	LIN	3	0.1	2	LIN_3_0.1	M	24	P1_Q2
P1_O2	P1	O2	FOF	1	3.124	1	FOF_1_3.124	O	2	P1_Q2
P1_O4	P1	O4	FOF	2	1.562	1	FOF_2_1.562	O	4	P1_Q2
P1_O6	P1	O6	FOF	3	0.781	1	FOF_3_0.781	O	6	P1_Q2
P1_O8	P1	O8	EGCG	1	50	2	EGCG_1_50	O	8	P1_Q2
P1_O10	P1	O10	EGCG	2	25	2	EGCG_2_25	O	10	P1_Q2
P1_O12	P1	O12	EGCG	3	12.5	2	EGCG_3_12.5	O	12	P1_Q2
P1_O14	P1	O14	MTR	1	2.5	1	MTR_1_2.5	O	14	P1_Q2
P1_O16	P1	O16	MTR	2	1.25	1	MTR_2_1.25	O	16	P1_Q2
P1_O18	P1	O18	MTR	3	0.625	1	MTR_3_0.625	O	18	P1_Q2
P1_O20	P1	O20	LZD	1	0.5	2	LZD_1_0.5	O	20	P1_Q2
P1_O22	P1	O22	LZD	2	0.25	2	LZD_2_0.25	O	22	P1_Q2
P1_O24	P1	O24	LZD	3	0.125	2	LZD_3_0.125	O	24	P1_Q2
P1_B1	P1	B1	MCZ	1	5	1	MCZ_1_5	B	1	P1_Q3
P1_B3	P1	B3	MCZ	2	2.5	1	MCZ_2_2.5	B	3	P1_Q3
P1_B5	P1	B5	MCZ	3	1.25	1	MCZ_3_1.25	B	5	P1_Q3
P1_B7	P1	B7	ORI	1	4	2	ORI_1_4	B	7	P1_Q3
P1_B9	P1	B9	ORI	2	2	2	ORI_2_2	B	9	P1_Q3
P1_B11	P1	B11	ORI	3	1	2	ORI_3_1	B	11	P1_Q3
P1_B13	P1	B13	OXA	1	0.0625	1	OXA_1_0.0625	B	13	P1_Q3
P1_B15	P1	B15	OXA	2	0.03125	1	OXA_2_0.03125	B	15	P1_Q3
P1_B17	P1	B17	OXA	3	0.015625	1	OXA_3_0.015625	B	17	P1_Q3
P1_B19	P1	B19	PUR	1	1.56	2	PUR_1_1.56	B	19	P1_Q3
P1_B21	P1	B21	PUR	2	0.78	2	PUR_2_0.78	B	21	P1_Q3
P1_B23	P1	B23	PUR	3	0.39	2	PUR_3_0.39	B	23	P1_Q3
P1_D1	P1	D1	MMC	1	0.0625	1	MMC_1_0.0625	D	1	P1_Q3
P1_D3	P1	D3	MMC	2	0.03125	1	MMC_2_0.03125	D	3	P1_Q3
P1_D5	P1	D5	MMC	3	0.015625	1	MMC_3_0.015625	D	5	P1_Q3
P1_D7	P1	D7	NVB	1	0.05	2	NVB_1_0.05	D	7	P1_Q3
P1_D9	P1	D9	NVB	2	0.025	2	NVB_2_0.025	D	9	P1_Q3
P1_D11	P1	D11	NVB	3	0.0125	2	NVB_3_0.0125	D	11	P1_Q3
P1_D13	P1	D13	PQ	1	5	1	PQ_1_5	D	13	P1_Q3
P1_D15	P1	D15	PQ	2	2.5	1	PQ_2_2.5	D	15	P1_Q3
P1_D17	P1	D17	PQ	3	1.25	1	PQ_3_1.25	D	17	P1_Q3
P1_D19	P1	D19	PYO	1	5	2	PYO_1_5	D	19	P1_Q3
P1_D21	P1	D21	PYO	2	2.5	2	PYO_2_2.5	D	21	P1_Q3
P1_D23	P1	D23	PYO	3	1.25	2	PYO_3_1.25	D	23	P1_Q3
P1_F1	P1	F1	MXF	1	0.03	1	MXF_1_0.03	F	1	P1_Q3
P1_F3	P1	F3	MXF	2	0.015	1	MXF_2_0.015	F	3	P1_Q3
P1_F5	P1	F5	MXF	3	0.0075	1	MXF_3_0.0075	F	5	P1_Q3
P1_F7	P1	F7	MCZ	1	5	2	MCZ_1_5	F	7	P1_Q3
P1_F9	P1	F9	MCZ	2	2.5	2	MCZ_2_2.5	F	9	P1_Q3
P1_F11	P1	F11	MCZ	3	1.25	2	MCZ_3_1.25	F	11	P1_Q3
P1_F13	P1	F13	PEN	1	0.078	1	PEN_1_0.078	F	13	P1_Q3
P1_F15	P1	F15	PEN	2	0.039	1	PEN_2_0.039	F	15	P1_Q3
P1_F17	P1	F17	PEN	3	0.0195	1	PEN_3_0.0195	F	17	P1_Q3
P1_F19	P1	F19	OXA	1	0.0625	2	OXA_1_0.0625	F	19	P1_Q3
P1_F21	P1	F21	OXA	2	0.03125	2	OXA_2_0.03125	F	21	P1_Q3
P1_F23	P1	F23	OXA	3	0.015625	2	OXA_3_0.015625	F	23	P1_Q3
